book_id,authors,original_publication_year,title,language_code,average_rating,ratings_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5
1,Suzanne Collins,2008,"The Hunger Games (The Hunger Games, #1)",eng,4.34,4780653,66715,127936,560092,1481305,2706317
2,"J.K. Rowling, Mary GrandPré",1997,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",eng,4.44,4602479,75504,101676,455024,1156318,3011543
3,Stephenie Meyer,2005,"Twilight (Twilight, #1)",en-US,3.57,3866839,456191,436802,793319,875073,1355439
4,Harper Lee,1960,To Kill a Mockingbird,eng,4.25,3198671,60427,117415,446835,1001952,1714267
5,F. Scott Fitzgerald,1925,The Great Gatsby,eng,3.89,2683664,86236,197621,606158,936012,947718
6,John Green,2012,The Fault in Our Stars,eng,4.26,2346404,47994,92723,327550,698471,1311871
7,J.R.R. Tolkien,1937,The Hobbit,en-US,4.25,2071616,46023,76784,288649,665635,1119718
8,J.D. Salinger,1951,The Catcher in the Rye,eng,3.79,2044241,109383,185520,455042,661516,709176
9,Dan Brown,2000,"Angels & Demons  (Robert Langdon, #1)",en-CA,3.85,2001311,77841,145740,458429,716569,680175
10,Jane Austen,1813,Pride and Prejudice,eng,4.24,2035490,54700,86485,284852,609755,1155673
11,Khaled Hosseini,2003,The Kite Runner,eng,4.26,1813044,34288,59980,226062,628174,929591
12,Veronica Roth,2011,"Divergent (Divergent, #1)",eng,4.24,1903563,36315,82870,310297,673028,1114304
13,"George Orwell, Erich Fromm, Celâl Üster",1949,1984,eng,4.14,1956832,41845,86425,324874,692021,908229
14,George Orwell,1945,Animal Farm,eng,3.87,1881700,66854,135147,433432,698642,648912
15,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,The Diary of a Young Girl,eng,4.1,1972666,45225,91270,355756,656870,875372
16,"Stieg Larsson, Reg Keeland",2005,"The Girl with the Dragon Tattoo (Millennium, #1)",eng,4.11,1808403,54835,86051,285413,667485,836050
17,Suzanne Collins,2009,"Catching Fire (The Hunger Games, #2)",eng,4.3,1831039,10492,48030,262010,687238,980309
18,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",eng,4.53,1832823,6716,20413,166129,509447,1266670
19,J.R.R. Tolkien,1954,"The Fellowship of the Ring (The Lord of the Rings, #1)",eng,4.34,1766803,38031,55862,202332,493922,1042394
20,Suzanne Collins,2010,"Mockingjay (The Hunger Games, #3)",eng,4.03,1719760,30144,110498,373060,618271,738775
21,"J.K. Rowling, Mary GrandPré",2003,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",eng,4.46,1735368,9528,31577,180210,494427,1124806
22,Alice Sebold,2002,The Lovely Bones,eng,3.77,1605173,62777,131188,404699,583575,479323
23,"J.K. Rowling, Mary GrandPré",1998,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",eng,4.37,1779331,8253,42251,242345,548266,1065084
24,"J.K. Rowling, Mary GrandPré",2000,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",eng,4.53,1753043,6676,20210,151785,494926,1195045
25,"J.K. Rowling, Mary GrandPré",2007,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",eng,4.61,1746574,9363,22245,113646,383914,1318227
26,Dan Brown,2003,"The Da Vinci Code (Robert Langdon, #2)",eng,3.79,1447148,71345,126493,340790,539277,479387
